Track name,Artist name,Album,Playlist name,Type,ISRC,Deezer - id
"Big Rings","Drake","What A Time To Be Alive","Favorite Tracks","Favorite","107878874","107878874"
"Digital Dash","Drake","What A Time To Be Alive","Favorite Tracks","Favorite","107878872","107878872"
"Down Bad","Dreamville","1-888-88-DREAM","Favorite Tracks","Favorite","694053572","694053572"
"Rigamortus","Kendrick Lamar","Section.80","Favorite Tracks","Favorite","12906055","12906055"
"Met Gala (feat. Offset)","Gucci Mane","Droptopwop","Favorite Tracks","Favorite","365642571","365642571"
"Yeah Right","Vince Staples","Big Fish Theory","Favorite Tracks","Favorite","373954461","373954461"
"Violation","Kekra","Vréalité","Favorite Tracks","Favorite","697964022","697964022"
"CLS","Kekra","Vréalité","Favorite Tracks","Favorite","697963982","697963982"
"Do You Understand? (feat. Gunna & Tory Lanez)","Shy Glizzy","Do You Understand? (feat. Gunna & Tory Lanez)","Favorite Tracks","Favorite","508039762","508039762"
"Maniac","GoldLink","Diaspora","Favorite Tracks","Favorite","692779372","692779372"
"Anybody (feat. Lil Duke & Gunna)","Lil Keed","Long Live Mexico","Favorite Tracks","Favorite","694225862","694225862"
"The Percocet & Stripper Joint","Future","DS2 (Deluxe)","Favorite Tracks","Favorite","104088798","104088798"
"Blood On the Money","Future","DS2 (Deluxe)","Favorite Tracks","Favorite","104088794","104088794"
"Rich $ex","Future","DS2 (Deluxe)","Favorite Tracks","Favorite","104088792","104088792"
"Colossal","Future","DS2 (Deluxe)","Favorite Tracks","Favorite","104088790","104088790"
"Groupies","Future","DS2 (Deluxe)","Favorite Tracks","Favorite","104088776","104088776"
"Gorgeous","Kanye West","My Beautiful Dark Twisted Fantasy","Favorite Tracks","Favorite","7667058","7667058"
"Oxygen","Bones","NoRedeemingQualities","Favorite Tracks","Favorite","608438292","608438292"
"Double Bang 6","Leto","Double Bang 6","Favorite Tracks","Favorite","639582292","639582292"
"Excuse Me","A$AP Rocky","AT.LONG.LAST.A$AP","Favorite Tracks","Favorite","100835972","100835972"
"Ocean Drive","21 Savage","Savage Mode","Favorite Tracks","Favorite","128458671","128458671"
"Savage Mode","21 Savage","Savage Mode","Favorite Tracks","Favorite","128458661","128458661"
"No Advance","21 Savage","Savage Mode","Favorite Tracks","Favorite","128458655","128458655"
"Dip Dip","21 Savage","Slaughter King","Favorite Tracks","Favorite","124786828","124786828"
"Either Hated Or Ignored","$uicideboy$","Either Hated Or Ignored","Favorite Tracks","Favorite","483560562","483560562"
"Low Key","$uicideboy$","Now The Moon's Rising","Favorite Tracks","Favorite","432954022","432954022"
"Runnin' Thru The 7th With My Woadies","$uicideboy$","$outh $ide $uicide","Favorite Tracks","Favorite","432954302","432954302"
"Kill Yourself (Part III)","$uicideboy$","My Liver Will Handle What My Heart Can't","Favorite Tracks","Favorite","432953982","432953982"
"Dirt","Bones","SCUMBAG","Favorite Tracks","Favorite","608437992","608437992"
"Sodium","Bones","SoThereWeStood","Favorite Tracks","Favorite","608436842","608436842"
"Seppuku (feat. Suicideboy$ & Jgrxxn)","Ghostemane","For the Aspiring Occultist","Favorite Tracks","Favorite","107854874","107854874"
"Water","Ugly God","Water","Favorite Tracks","Favorite","136336546","136336546"
"Government Official","Future","SAVE ME","Favorite Tracks","Favorite","690129572","690129572"
"Compte les hommes","Nekfeu","Les étoiles vagabondes","Favorite Tracks","Favorite","691125192","691125192"
"Premier pas","Nekfeu","Les étoiles vagabondes","Favorite Tracks","Favorite","691125162","691125162"
"Tricheur","Nekfeu","Les étoiles vagabondes","Favorite Tracks","Favorite","691125172","691125172"
"Fried Rice","Bas","Fried Rice","Favorite Tracks","Favorite","688433672","688433672"
"On My Soul","Moneybagg Yo","43VA HEARTLESS","Favorite Tracks","Favorite","682077312","682077312"
"Relentless Again","Moneybagg Yo","43VA HEARTLESS","Favorite Tracks","Favorite","682077242","682077242"
"No Filter","Moneybagg Yo","43VA HEARTLESS","Favorite Tracks","Favorite","682077322","682077322"
"Dior","Moneybagg Yo","43VA HEARTLESS","Favorite Tracks","Favorite","682077262","682077262"
"ROCKABYE BABY (feat. ScHoolboy Q)","Joey Bada$$","ALL-AMERIKKKAN BADA$$","Favorite Tracks","Favorite","145590480","145590480"
"Ghost Ride","Skepta","Vicious EP","Favorite Tracks","Favorite","422654962","422654962"
"Fuck Up the City (feat. Quavo & Mally Mall)","PnB Rock","TrapStar Turnt PopStar","Favorite Tracks","Favorite","672987662","672987662"
"You Wish","Skepta","Ignorance is Bliss","Favorite Tracks","Favorite","672290992","672290992"
"Love Me Not","Skepta","Ignorance is Bliss","Favorite Tracks","Favorite","672290962","672290962"
"Same Old Story","Skepta","Ignorance is Bliss","Favorite Tracks","Favorite","672290952","672290952"
"Going Through It","Skepta","Ignorance is Bliss","Favorite Tracks","Favorite","672290942","672290942"
"No Sleep","Skepta","Ignorance is Bliss","Favorite Tracks","Favorite","672290922","672290922"
"Guedro","Koba LaD","L' Affranchi","Favorite Tracks","Favorite","666602052","666602052"
"Bullet From A Gun","Skepta","Ignorance is Bliss","Favorite Tracks","Favorite","672290892","672290892"
"Workin Out","JID","DiCaprio 2","Favorite Tracks","Favorite","598758562","598758562"
"Pas joli","Kekra","Vréel","Favorite Tracks","Favorite","123598936","123598936"
"Wing Chun","Kekra","Land","Favorite Tracks","Favorite","516227842","516227842"
"Too High To Riot","Bas","Too High To Riot","Favorite Tracks","Favorite","120441800","120441800"
"Ricochet","Bas","Too High To Riot","Favorite Tracks","Favorite","120441818","120441818"
"Matches","Bas","Too High To Riot","Favorite Tracks","Favorite","120441814","120441814"
"Infinity+2","Bas","Milky Way","Favorite Tracks","Favorite","543120592","543120592"
"Charles De Gaulle To JFK","Bas","Last Winter","Favorite Tracks","Favorite","77633444","77633444"
"Dopamine","Bas","Too High To Riot","Favorite Tracks","Favorite","120441804","120441804"
"Offshore","Vald","XEU","Favorite Tracks","Favorite","456076102","456076102"
"3500 (feat. Future & 2 Chainz)","Travis Scott","Rodeo","Favorite Tracks","Favorite","106713874","106713874"
"Hotline Bling","Drake","Views","Favorite Tracks","Favorite","124603286","124603286"
"NO BYSTANDERS","Travis Scott","ASTROWORLD","Favorite Tracks","Favorite","536421032","536421032"
"MacDo","Vald","NQNT33","Favorite Tracks","Favorite","553585332","553585332"
"Just Da Other Day","JID","DiCaprio 2","Favorite Tracks","Favorite","598758612","598758612"
"Off Da Zoinkys","JID","DiCaprio 2","Favorite Tracks","Favorite","598758552","598758552"
"Interview","Quality Control","Quality Control: Control The Streets Volume 1","Favorite Tracks","Favorite","438891442","438891442"
"Martian (Intro)","Takeoff","The Last Rocket","Favorite Tracks","Favorite","575943252","575943252"
"Sky Fall","Travis","Trap Still Boomin' 3","Favorite Tracks","Favorite","95988736","95988736"
"151 Rum","JID","DiCaprio 2","Favorite Tracks","Favorite","598758542","598758542"
"Same Yung Nigga (feat. Playboi Carti)","Gunna","Drip or Drown 2","Favorite Tracks","Favorite","635327292","635327292"
"Collard Greens","ScHoolboy Q","Oxymoron (Deluxe)","Favorite Tracks","Favorite","75072823","75072823"
"Wooh!","Sneazzy","Dieu bénisse Supersound, saison 2","Favorite Tracks","Favorite","143529978","143529978"
"IGOR'S THEME","Tyler, The Creator","IGOR","Favorite Tracks","Favorite","681009642","681009642"
"NEW MAGIC WAND","Tyler, The Creator","IGOR","Favorite Tracks","Favorite","681009692","681009692"
"EARFQUAKE","Tyler, The Creator","IGOR","Favorite Tracks","Favorite","681009652","681009652"
"No Heart","21 Savage","Savage Mode","Favorite Tracks","Favorite","128458657","128458657"
"Brothers","Lil Tjay","Brothers","Favorite Tracks","Favorite","574629802","574629802"
"Hol' Up","Kendrick Lamar","Section.80","Favorite Tracks","Favorite","12906045","12906045"
"F*ck Your Ethnicity","Kendrick Lamar","Section.80","Favorite Tracks","Favorite","12906044","12906044"
"LVL","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Tracks","Favorite","623422542","623422542"
"Goldie","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Tracks","Favorite","623422522","623422522"
"Survival Tactics","Joey Bada$$","1999","Favorite Tracks","Favorite","510409102","510409102"
"TEMPTATION","Joey Bada$$","ALL-AMERIKKKAN BADA$$","Favorite Tracks","Favorite","908958452","908958452"
"Flex","Playboi Carti","Playboi Carti","Favorite Tracks","Favorite","347376831","347376831"
"Half & Half","Playboi Carti","Playboi Carti","Favorite Tracks","Favorite","347376761","347376761"
"Old Money","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467082","497467082"
"Choppa Won't Miss","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467212","497467212"
"Long Time (Intro)","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467052","497467052"
"Foreign","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467152","497467152"
"R.I.P. Fredo (Notice Me)","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467222","497467222"
"Lean 4 Real","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467072","497467072"
"Right Now","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467112","497467112"
"New Choppa","Playboi Carti","Playboi Carti","Favorite Tracks","Favorite","347376771","347376771"
"wokeuplikethis*","Playboi Carti","Playboi Carti","Favorite Tracks","Favorite","347376741","347376741"
"R.I.P.","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467062","497467062"
"No Time","Playboi Carti","Die Lit","Favorite Tracks","Favorite","497467192","497467192"
"She Will","Lil Wayne","Tha Carter IV (Deluxe)","Favorite Tracks","Favorite","13623342","13623342"
"Mess","Lil Wayne","Tha Carter V","Favorite Tracks","Favorite","560952002","560952002"
"Love Me","Lil Wayne","Love Me","Favorite Tracks","Favorite","63565179","63565179"
"Sentiment","Vacant","Deep South EP","Favorite Tracks","Favorite","607533432","607533432"
"Dangerous","ScHoolboy Q","CrasH Talk","Favorite Tracks","Favorite","668919282","668919282"
"Drunk","ScHoolboy Q","CrasH Talk","Favorite Tracks","Favorite","668919232","668919232"
"Tales","ScHoolboy Q","CrasH Talk","Favorite Tracks","Favorite","668919202","668919202"
"Intro","The xx","xx","Favorite Tracks","Favorite","3787855","3787855"
"CrasH","ScHoolboy Q","CrasH Talk","Favorite Tracks","Favorite","668919302","668919302"
"Fashion Killa","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Tracks","Favorite","623422612","623422612"
"Canal St. (feat. Bones)","A$AP Rocky","AT.LONG.LAST.A$AP","Favorite Tracks","Favorite","100835966","100835966"
"PMW (All I Really Need) (feat. ScHoolboy Q)","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Tracks","Favorite","623422532","623422532"
"L$D","A$AP Rocky","AT.LONG.LAST.A$AP","Favorite Tracks","Favorite","100835970","100835970"
"90210 (feat. Kacy Hill)","Travis Scott","Rodeo","Favorite Tracks","Favorite","106713878","106713878"
"POWER","Kanye West","My Beautiful Dark Twisted Fantasy","Favorite Tracks","Favorite","7667059","7667059"
"Wolves","Kanye West","The Life Of Pablo","Favorite Tracks","Favorite","126772753","126772753"
"Ignorance Is Bliss","Kendrick Lamar","Overly Dedicated","Favorite Tracks","Favorite","135282770","135282770"
"A.D.H.D","Kendrick Lamar","Section.80","Favorite Tracks","Favorite","12906046","12906046"
"The Recipe (Bonus Track)","Kendrick Lamar","good kid, m.A.A.d city (Deluxe)","Favorite Tracks","Favorite","67929165","67929165"
"Poetic Justice","Kendrick Lamar","good kid, m.A.A.d city (Deluxe)","Favorite Tracks","Favorite","67929158","67929158"
"Famous","Kanye West","The Life Of Pablo","Favorite Tracks","Favorite","126772735","126772735"
"Helluva Price","Gunna","Drip Season 3 (Deluxe)","Favorite Tracks","Favorite","651593842","651593842"
"Drip or Drown Remix (feat. Lil Yachty)","Gunna","Drip Season 3 (Deluxe)","Favorite Tracks","Favorite","651594002","651594002"
"Dans la tête","Kalash Criminel","La fosse aux lions (Réédition)","Favorite Tracks","Favorite","671490102","671490102"
"M.I.L.S","Ninho","M.I.L.S","Favorite Tracks","Favorite","132929030","132929030"
"Location","Playboi Carti","Playboi Carti","Favorite Tracks","Favorite","347376711","347376711"
"Sale sonorité","Kalash Criminel","R.A.S","Favorite Tracks","Favorite","135010096","135010096"
"A dix","Kalash Criminel","La fosse aux lions","Favorite Tracks","Favorite","590612502","590612502"
"Coltan","Kalash Criminel","La fosse aux lions","Favorite Tracks","Favorite","590612472","590612472"
